Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
CARREFOUR;FR0000120172;CA;"Euronext Paris";EUR;15.63;16.02;15.625;15.96;"08/04/2024 17:35";CET;1836146;29237320.23;15.96;08/04/2024
"CASINO BSA1";FR001400OJ72;COBS1;"Euronext Paris";EUR;-;-;-;-;-;CET;-;-;0.0155;08/04/2024
"CASINO BSA3";FR001400OJ98;COBS3;"Euronext Paris";EUR;0.0003;0.0004;0.0003;0.0003;"08/04/2024 17:10";CET;8128770;2463.631;0.0003;08/04/2024
"CASINO GUICHARD";FR0000125585;CO;"Euronext Paris";EUR;0.0389;0.0389;0.0352;0.0372;"08/04/2024 17:35";CET;28228129;1041950.8674;0.0372;08/04/2024
"CATANA GROUP";FR0010193052;CATG;"Euronext Paris";EUR;4.52;4.72;4.485;4.65;"08/04/2024 17:35";CET;104584;484047.335;4.65;08/04/2024
"CATERING INTL SCES";FR0000064446;ALCIS;"Euronext Growth Paris";EUR;9.22;9.28;9.14;9.20;"08/04/2024 17:35";CET;4461;41053.50;9.20;08/04/2024
"CATERPILLAR INC";US1491231015;CATR;"Euronext Paris";EUR;350.00;350.00;347.50;347.50;"08/04/2024 16:20";CET;78;27246.50;347.50;08/04/2024
CBI;FR0014007LW0;ALCBI;"Euronext Growth Paris";EUR;0.426;0.45;0.404;0.449;"08/04/2024 17:35";CET;84618;36086.67;0.449;08/04/2024
"CBI BSA A";FR001400O416;CBBSA;"Euronext Growth Paris";EUR;0.0001;0.0001;0.0001;0.0001;"08/04/2024 09:00";CET;150;0.015;0.0001;08/04/2024
"CBI BSA B";FR001400O408;CBSAB;"Euronext Growth Paris";EUR;0.0009;0.0009;0.0005;0.0005;"08/04/2024 17:35";CET;57945;52.0905;0.0005;08/04/2024
"CBO TERRITORIA";FR0010193979;CBOT;"Euronext Paris";EUR;3.75;3.75;3.72;3.72;"08/04/2024 17:35";CET;31894;119185.30;3.72;08/04/2024
CEGEDIM;FR0000053506;CGM;"Euronext Paris";EUR;13.90;14.30;13.90;14.20;"08/04/2024 17:35";CET;2625;36904.50;14.20;08/04/2024
CELLECTIS;FR0010425595;ALCLS;"Euronext Growth Paris";EUR;2.55;2.565;2.46;2.525;"08/04/2024 17:38";CET;64761;162694.42;2.525;08/04/2024
"CELYAD ONCOLOGY";BE0974260896;CYAD;"Euronext Brussels, Paris";EUR;0.336;0.3575;0.336;0.35;"08/04/2024 17:35";CET;3686;1277.148;0.35;08/04/2024
"CERINNOV GROUP";FR0013178712;ALPCV;"Euronext Growth Paris";EUR;1.93;1.93;1.82;1.895;"08/04/2024 16:37";CET;8141;14995.595;1.895;08/04/2024
CFI;FR0000037475;CFI;"Euronext Paris";EUR;0.51;0.51;0.51;0.51;"20/03/2024 11:30";CET;48;24.48;0.51;08/04/2024
"CFM INDOSUEZWEALTH";MC0010000826;MLCFM;"Euronext Access Paris";EUR;1020.00;1020.00;1020.00;1020.00;"05/04/2024 16:30";CET;3;3060.00;1020.00;08/04/2024
CGG;FR0013181864;CGG;"Euronext Paris";EUR;0.40;0.4224;0.398;0.4129;"08/04/2024 17:35";CET;8017005;3333337.2591;0.4129;08/04/2024
"CH.FER DEPARTEMENT";FR0000037871;MLCFD;"Euronext Access Paris";EUR;735.00;735.00;735.00;735.00;"19/03/2024 16:30";CET;3;2205.00;735.00;08/04/2024
"CH.FER VAR GARD N.";FR0000051567;MLCVG;"Euronext Access Paris";EUR;6950.00;6950.00;6950.00;6950.00;"26/03/2024 16:30";CET;1;6950.00;6950.00;08/04/2024
CHARGEURS;FR0000130692;CRI;"Euronext Paris";EUR;11.76;11.76;11.46;11.46;"08/04/2024 17:35";CET;9523;110373.20;11.46;08/04/2024
"CHARWOOD ENERGY";FR001400AJ60;ALCWE;"Euronext Growth Paris";EUR;3.80;3.80;3.80;3.80;"08/04/2024 15:31";CET;545;2071.00;3.80;08/04/2024
CHAUSSERIA;FR0000060907;CHSR;"Euronext Paris";EUR;9.70;9.70;9.70;9.70;"28/03/2024 11:30";CET;4;38.80;9.70;08/04/2024
"CHEOPS TECHNOLOGY";FR0010447086;MLCHE;"Euronext Access Paris";EUR;62.00;62.00;62.00;62.00;"04/04/2024 16:30";CET;4;248.00;62.00;08/04/2024
"CHRISTIAN DIOR";FR0000130403;CDI;"Euronext Paris";EUR;750.00;758.00;747.00;755.00;"08/04/2024 17:35";CET;3600;2711412.00;755.00;08/04/2024
"CIBOX INTER A CTIV";FR0000054322;ALCBX;"Euronext Growth Paris";EUR;0.015;0.0158;0.0148;0.0156;"08/04/2024 17:16";CET;227050;3508.5556;0.0156;08/04/2024
"CIE DU MONT BLANC";FR0000060428;MLCMB;"Euronext Access Paris";EUR;132.00;132.00;129.00;129.00;"08/04/2024 16:30";CET;20;2589.00;129.00;08/04/2024
CLARANOVA;FR0013426004;CLA;"Euronext Paris";EUR;2.32;2.36;2.25;2.35;"08/04/2024 17:35";CET;60314;138796.685;2.35;08/04/2024
CLARIANE;FR0010386334;CLARI;"Euronext Paris";EUR;1.826;1.828;1.716;1.79;"08/04/2024 17:35";CET;381719;678474.26;1.79;08/04/2024
CLASQUIN;FR0004152882;ALCLA;"Euronext Growth Paris";EUR;136.50;137.00;136.00;136.50;"08/04/2024 17:35";CET;1960;267444.50;136.50;08/04/2024
"CMG CLEANTECH";FR0013406881;MLCMG;"Euronext Access Paris";EUR;0.84;0.84;0.84;0.84;"08/04/2024 11:30";CET;100;84.00;0.84;08/04/2024
CNOVA;NL0010949392;CNV;"Euronext Paris";EUR;1.485;1.60;1.465;1.60;"08/04/2024 17:37";CET;272;434.11;1.60;08/04/2024
COFACE;FR0010667147;COFA;"Euronext Paris";EUR;14.42;14.72;14.38;14.68;"08/04/2024 17:35";CET;264290;3862735.77;14.68;08/04/2024
COFIDUR;FR0013257409;ALCOF;"Euronext Growth Paris";EUR;360.00;374.00;342.00;346.00;"08/04/2024 17:35";CET;347;122498.00;346.00;08/04/2024
COGELEC;FR0013335742;ALLEC;"Euronext Growth Paris";EUR;8.00;8.00;8.00;8.00;"08/04/2024 13:15";CET;707;5656.00;8.00;08/04/2024
COGRA;FR0011071570;ALCOG;"Euronext Growth Paris";EUR;7.70;7.70;7.00;7.02;"08/04/2024 17:35";CET;16949;122019.10;7.02;08/04/2024
COHERIS;FR0004031763;COH;"Euronext Paris";EUR;5.02;5.02;5.02;5.02;"08/04/2024 17:35";CET;1010;5070.20;5.02;08/04/2024
COIL;BE0160342011;ALCOI;"Euronext Growth Paris";EUR;4.80;4.91;4.80;4.91;"08/04/2024 17:03";CET;161;772.91;4.91;08/04/2024
COLIPAYS;FR0010959684;MLCLP;"Euronext Access Paris";EUR;1.28;1.28;1.28;1.28;"03/04/2024 16:30";CET;24;30.72;1.28;08/04/2024
"COMPAGNIE ODET";FR0000062234;ODET;"Euronext Paris";EUR;1562.00;1574.00;1554.00;1560.00;"08/04/2024 17:35";CET;767;1197276.00;1560.00;08/04/2024
